step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
84,269600,672,0.5278786460810099,0.0,0.5699693564862104
85,272936,680,0.4352135715533493,0.0,0.5156657963446475
86,275312,688,0.5449482029452998,0.0,0.55893536121673
87,277944,696,0.6878848559746079,0.0,0.5055309734513275
88,281664,704,0.4960681579297586,0.0,0.5802583025830258
89,285768,712,0.42971436293192106,0.0,0.5827876520112254
90,290256,720,0.4377697292583731,0.0,0.5862646566164154
91,293912,728,0.5564287020201787,0.0,0.5220729366602687
92,297760,736,0.44459646510851486,0.0,0.6077547339945897
93,301480,744,0.44211975699287914,0.0,0.5866141732283464
94,304304,752,0.6504368164770299,0.0,0.5120167189132706
95,307576,760,0.6278268163472949,0.0,0.5523809523809524
96,311296,768,0.4995820562887203,0.0,0.5689819219790676
97,315976,776,0.37524520168896014,0.0,0.5776105362182502
98,319440,784,0.5741971546380745,0.0,0.5913461538461539
99,321304,792,0.6720119953089557,0.0,0.5768229166666666
100,323808,800,0.5781306277824313,0.0,0.5717761557177615
101,326952,808,0.4227337481934121,0.0,0.573076923076923
102,330544,816,0.5268092015400218,0.0,0.5901639344262295
103,334840,824,0.49925749793850177,0.0,0.5387931034482759
104,336896,832,0.5316902220358826,0.0,0.5811437403400309
105,340232,840,0.5418177599931563,0.0,0.5518962075848304
106,342800,848,0.564873764084645,0.0,0.6069042316258352
107,347224,856,0.46011621323566504,0.0,0.5885714285714285
108,351072,864,0.5057674935821092,0.0,0.5895522388059702
109,353960,872,0.5621717029926259,0.0,0.5627009646302251
110,357744,880,0.4567387425938116,0.0,0.594296228150874
111,361592,888,0.4893678744504324,0.0,0.5756490599820949
112,366400,896,0.5223318473800699,0.0,0.5453885257806826
113,370056,904,0.5904985260243993,0.0,0.5492487479131887
114,373008,912,0.5227687942704449,0.0,0.6055133079847909
115,376984,920,0.5011274056247232,0.0,0.580267558528428
116,379808,928,0.5984328557592226,0.0,0.5635245901639344
117,382504,936,0.6193984667822756,0.0,0.5673913043478261
118,385520,944,0.4318621123375017,0.0,0.5377094972067039
119,387832,952,0.5567370344292504,0.0,0.5951219512195122
120,391488,960,0.5767599421629577,0.0,0.6211135213304411
121,394504,968,0.5282184089425066,0.0,0.5758241758241758
122,397648,976,0.5968485313170181,0.0,0.5275754422476587
123,401560,984,0.440703499618485,0.0,0.5770750988142292
124,405408,992,0.44622035691620393,0.0,0.6289361702127659
125,407656,1000,0.4769621168001125,0.0,0.6129518072289156
126,410992,1008,0.4016867109573155,0.0,0.6175824175824176
127,415352,1016,0.44496375858546955,0.0,0.5801928133216476
128,419328,1024,0.44930680787472776,0.0,0.5689176688251619
129,421256,1032,0.6130766812525031,0.0,0.5980528511821975
130,424464,1040,0.4357719211557564,0.0,0.6056955093099672
131,427608,1048,0.5716731641719556,0.0,0.5528134254689042
132,431136,1056,0.44230252205740356,0.0,0.5855758880516685
133,433512,1064,0.5794930099916256,0.0,0.5881642512077294
134,435824,1072,0.5484959048615216,0.0,0.5622377622377622
135,438520,1080,0.4687629390663033,0.0,0.5523012552301255
136,441856,1088,0.43471786663164297,0.0,0.5736526946107784
137,445256,1096,0.4497143865624173,0.0,0.5933701657458563
138,448848,1104,0.5635338937941735,0.0,0.602952602952603
139,451416,1112,0.5045923509432205,0.0,0.5748129675810474
140,454240,1120,0.4348132628820867,0.0,0.5898491083676269
141,457064,1128,0.4967041081922453,0.0,0.6190476190476191
142,461744,1136,0.3931773647690739,0.0,0.5951178451178452
143,464824,1144,0.4997729291661234,0.0,0.5781584582441114
144,467840,1152,0.6633968789629077,0.0,0.5843935538592027
145,471624,1160,0.5300811582131644,0.0,0.5205607476635514
146,474192,1168,0.5672983707123097,0.0,0.5806451612903226
147,477784,1176,0.5585858062392182,0.0,0.561864406779661
148,481184,1184,0.4715773525816055,0.0,0.6215962441314554
149,483944,1192,0.6828056481499537,0.0,0.5637707948243993
150,486896,1200,0.5474212752607243,0.0,0.5824742268041238
151,489400,1208,0.6008126583915061,0.0,0.6108647450110865
152,493056,1216,0.6612167631630566,0.0,0.5424492862509391
153,495560,1224,0.4969458359456356,0.0,0.590728476821192
154,498448,1232,0.6550102856452845,0.0,0.5554493307839388
155,501848,1240,0.42586007764054234,0.0,0.5412960609911055
156,504416,1248,0.5551519120702217,0.0,0.5959271168274384
157,507752,1256,0.49343073769140133,0.0,0.5762004175365344
158,510256,1264,0.6459005721445794,0.0,0.5287356321839081
159,513528,1272,0.5144039428456476,0.0,0.5982905982905983
160,515648,1280,0.43881273901086476,0.0,0.5615384615384615
161,519112,1288,0.39891617707074517,0.0,0.5797101449275363
162,522256,1296,0.47991980330167366,0.0,0.5763440860215053
163,525080,1304,0.4782085873561304,0.0,0.5657216494845361
164,528544,1312,0.579863025687114,0.0,0.5777777777777777
165,533288,1320,0.38977259454750507,0.0,0.6017391304347826
166,535920,1328,0.49064447233383696,0.0,0.636466591166478
167,539576,1336,0.4006488457139554,0.0,0.590347923681257
168,542016,1344,0.5575846273522053,0.0,0.497841726618705
169,545544,1352,0.5305250349457431,0.0,0.5261083743842364
170,548752,1360,0.4777694139319148,0.0,0.6050251256281407
171,552408,1368,0.5680358387989154,0.0,0.5624489795918367
172,556064,1376,0.49393952618522113,0.0,0.5917808219178082
173,558440,1384,0.5541135099456297,0.0,0.6136631330977621
174,561008,1392,0.5606068354055778,0.0,0.61211477151966
175,564664,1400,0.4898375260401021,0.0,0.5934163701067615
176,568000,1408,0.44118829261998893,0.0,0.5634638196915777
177,571272,1416,0.5009906639414543,0.0,0.594758064516129
178,574800,1424,0.4068323934363367,0.0,0.5841121495327103
179,577048,1432,0.6410302749365612,0.0,0.5940919037199125
180,579296,1440,0.6220412879463729,0.0,0.591187270501836
181,581992,1448,0.4362260207308128,0.0,0.5819209039548022
182,584176,1456,0.7122837138711341,0.0,0.5893769152196119
183,587512,1464,0.6093734646688751,0.0,0.5709401709401709
184,590528,1472,0.529116059631057,0.0,0.5550510783200908
185,593096,1480,0.5000414878600183,0.0,0.5790849673202615
186,595856,1488,0.5484642410793766,0.0,0.5783540022547914
187,598936,1496,0.4464415808448769,0.0,0.5407503234152652
188,604256,1504,0.40109773341506055,0.0,0.5709677419354838
189,607464,1512,0.5405012093281943,0.0,0.5739644970414202
190,610544,1520,0.642687021402751,0.0,0.5484460694698354
191,613752,1528,0.47887194234818364,0.0,0.5826180257510729
